fk_x_invoice_hub_id,created_at,fk_x_currency_ref_cd,due_amt,total_amt,subtotal_amt,fee_amt,paid_ind,closed_ind,forgiven_ind,attempt_cnt,x_receipt_id,next_attempt_at,period_start_at,period_end_at,description,fk_s_change_context_id,row_hash,fk_x_invoice_hub_id_raw
11E7137A37BA8D33A211020AF2129A61,"2017-03-27 22:48:50.388",USD,16585,16585,16585,0,1,1,0,1,2368-9303,NULL,NULL,NULL,NULL,11E7137A37F4E3B6BCDA06616AC582AF,AB427A90587BAB9F935DAE8AE626EE3D,...
11E7137A3C7F8FF5A211020AF2129A61,"2017-03-27 22:48:58.382",USD,8625,8625,8625,0,1,1,0,1,2150-8450,NULL,NULL,NULL,NULL,11E7137A3CB8A4E5BCDA06616AC582AF,8173F337F8D0F4A55B79F55C974DC9A4,...
11E7137A3DCBE586A211020AF2129A61,"2017-03-27 22:49:00.453",USD,9098,9098,9098,0,1,1,0,1,2514-3132,NULL,NULL,NULL,NULL,11E7137A3DF48E87BCDA06616AC582AF,A577A805D1C125C62A9E08CA0A82F9F3,...
11E7137A3FEB4390A211020AF2129A61,"2017-03-27 22:49:03.785",USD,834,834,834,0,1,1,0,1,2930-3176,NULL,NULL,NULL,NULL,11E7137A3FF118A0BCDA06616AC582AF,2C60C4D67F5255AA50424E2956F51A85,...
11E7137A40084191A211020AF2129A61,"2017-03-27 22:49:03.994",USD,1036,1036,1036,0,1,1,0,1,2253-5422,NULL,NULL,NULL,NULL,11E7137A4010EFC4BCDA06616AC582AF,92B38950A4779D0AC95C4E90F3F456B9,...
11E7137A41E27EF9A211020AF2129A61,"2017-03-27 22:49:07.857",USD,18688,18688,18688,0,1,1,0,1,2006-4414,NULL,NULL,NULL,NULL,11E7137A425E5DD8BCDA06616AC582AF,A0CF99C5C101DFBF0BD09C30CBB1A729,...
11E7137A447E392BA211020AF2129A61,"2017-03-27 22:49:12.042",USD,37016,37016,37016,0,1,1,0,1,2950-4822,NULL,NULL,NULL,NULL,11E7137A44DCF587BCDA06616AC582AF,1465FB07A36E56F5B7DEF40F3C89ECDA,...
11E7137A48D4741FA211020AF2129A61,"2017-03-27 22:49:18.708",USD,0,0,0,0,1,1,0,0,NULL,NULL,"2016-04-13 09:36:15","2016-04-13 09:36:15",NULL,11E7137A48D5C160BCDA06616AC582AF,CDE9F9884D339D7E938AC86066D4ABCB,...
11E7137A49C90C69A211020AF2129A61,"2017-03-27 22:49:20.847",USD,24587,24587,24587,0,1,1,0,1,2626-4470,NULL,NULL,NULL,NULL,11E7137A4A1C9E17BCDA06616AC582AF,823B9AD7029238DA89C3B089F3646581,...
11E7137A4BE1DA89A211020AF2129A61,"2017-03-27 22:49:24.440",USD,13920,13920,13920,0,1,1,0,1,2725-7265,NULL,NULL,NULL,NULL,11E7137A4C40CE6EBCDA06616AC582AF,86E908269FDF361B346D1F18421C00D8,...
