sk_id,created_at,updated_at,deleted_at,fk_r_billing_engine_ref_cd,x_invoice_item_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_r_plan_lnk_id,x_created_at,fk_s_change_context_id_cr,fk_s_change_context_id_dl,sk_id_raw
11E7137BD79DD6AFA211020AF2129A61,"2017-03-27 23:00:27.757","2017-03-27 23:00:27.759",NULL,STRIPE,ii_18ITteHiCtHGC78FQTdxfRLZ,SHIPPING,...,NULL,"2016-06-03 18:48:18",11E7137BD79E7009BCDA06616AC582AF,NULL,...
11E7137BD7A0BCE2A211020AF2129A61,"2017-03-27 23:00:27.776","2017-03-27 23:00:27.779",NULL,STRIPE,ii_18ITtfHiCtHGC78FqR45qjjT,SHIPPING,...,NULL,"2016-06-03 18:48:19",11E7137BD7A21814BCDA06616AC582AF,NULL,...
11E7137BD7A3CA25A211020AF2129A61,"2017-03-27 23:00:27.796","2017-03-27 23:00:27.798",NULL,STRIPE,ii_18ITtfHiCtHGC78FOv8AmuiY,SHIPPING,...,NULL,"2016-06-03 18:48:19",11E7137BD7A5154ABCDA06616AC582AF,NULL,...
11E7137BD7A68948A211020AF2129A61,"2017-03-27 23:00:27.815","2017-03-27 23:00:27.817",NULL,STRIPE,ii_18ITtgHiCtHGC78FFDjdpazb,SHIPPING,...,NULL,"2016-06-03 18:48:20",11E7137BD7A7EF9EBCDA06616AC582AF,NULL,...
11E7137BD7A9486BA211020AF2129A61,"2017-03-27 23:00:27.833","2017-03-27 23:00:27.835",NULL,STRIPE,ii_18ITtiHiCtHGC78FcUefJwIW,SHIPPING,...,NULL,"2016-06-03 18:48:22",11E7137BD7AAABFDBCDA06616AC582AF,NULL,...
11E7137BD7ACCADEA211020AF2129A61,"2017-03-27 23:00:27.855","2017-03-27 23:00:27.858",NULL,STRIPE,ii_18ITtjHiCtHGC78FjxH27Ii8,SHIPPING,...,NULL,"2016-06-03 18:48:23",11E7137BD7AE1F2BBCDA06616AC582AF,NULL,...
11E7137BD7AFD821A211020AF2129A61,"2017-03-27 23:00:27.875","2017-03-27 23:00:27.877",NULL,STRIPE,ii_18ITtkHiCtHGC78FqIEvkwIA,SHIPPING,...,NULL,"2016-06-03 18:48:24",11E7137BD7B11EC5BCDA06616AC582AF,NULL,...
11E7137BD7B2BE54A211020AF2129A61,"2017-03-27 23:00:27.895","2017-03-27 23:00:27.897",NULL,STRIPE,ii_18ITtkHiCtHGC78Fkkiicn8E,SHIPPING,...,NULL,"2016-06-03 18:48:24",11E7137BD7B4262BBCDA06616AC582AF,NULL,...
11E7137BD7B5A487A211020AF2129A61,"2017-03-27 23:00:27.914","2017-03-27 23:00:27.916",NULL,STRIPE,ii_18ITtlHiCtHGC78FYYLdYOiC,SHIPPING,...,NULL,"2016-06-03 18:48:25",11E7137BD7B70C6DBCDA06616AC582AF,NULL,...
11E7137BD7B8B1CAA211020AF2129A61,"2017-03-27 23:00:27.933","2017-03-27 23:00:27.936",NULL,STRIPE,ii_18ITtmHiCtHGC78FQVpaogXH,SHIPPING,...,NULL,"2016-06-03 18:48:26",11E7137BD7BA0860BCDA06616AC582AF,NULL,...
11E7137BD7BB70EDA211020AF2129A61,"2017-03-27 23:00:27.952","2017-03-27 23:00:27.954",NULL,STRIPE,ii_18ITtmHiCtHGC78FnnylZL5E,SHIPPING,...,NULL,"2016-06-03 18:48:26",11E7137BD7BCDB38BCDA06616AC582AF,NULL,...
11E7137BDBE0FDF8A211020AF2129A61,"2017-03-27 23:00:34.908","2017-03-27 23:00:34.911",NULL,STRIPE,ii_18ITveHiCtHGC78FTpI2nxn7,SHIPPING,...,NULL,"2016-06-03 18:50:22",11E7137BDBE25623BCDA06616AC582AF,NULL,...
11E7137BDBE3E42BA211020AF2129A61,"2017-03-27 23:00:34.927","2017-03-27 23:00:34.929",NULL,STRIPE,ii_18ITvfHiCtHGC78FesbDcwUz,SHIPPING,...,NULL,"2016-06-03 18:50:23",11E7137BDBE52E39BCDA06616AC582AF,NULL,...
11E7137BDBE7187EA211020AF2129A61,"2017-03-27 23:00:34.948","2017-03-27 23:00:34.951",NULL,STRIPE,ii_18ITvfHiCtHGC78FCk9TWxuL,SHIPPING,...,NULL,"2016-06-03 18:50:23",11E7137BDBE87859BCDA06616AC582AF,NULL,...
11E7137BDBEA4CD1A211020AF2129A61,"2017-03-27 23:00:34.969","2017-03-27 23:00:34.972",NULL,STRIPE,ii_18ITvgHiCtHGC78FVOVPvRAo,SHIPPING,...,NULL,"2016-06-03 18:50:24",11E7137BDBEBA324BCDA06616AC582AF,NULL,...
11E7137BDBED3304A211020AF2129A61,"2017-03-27 23:00:34.989","2017-03-27 23:00:34.991",NULL,STRIPE,ii_18ITvhHiCtHGC78FoSEFBJcG,SHIPPING,...,NULL,"2016-06-03 18:50:25",11E7137BDBEE99DCBCDA06616AC582AF,NULL,...
11E7137BDBF04047A211020AF2129A61,"2017-03-27 23:00:35.008","2017-03-27 23:00:35.010",NULL,STRIPE,ii_18ITvhHiCtHGC78FVPioYuzf,SHIPPING,...,NULL,"2016-06-03 18:50:25",11E7137BDBF1909EBCDA06616AC582AF,NULL,...
11E7137BDBF3267AA211020AF2129A61,"2017-03-27 23:00:35.027","2017-03-27 23:00:35.030",NULL,STRIPE,ii_18ITviHiCtHGC78FQ9lTANyx,SHIPPING,...,NULL,"2016-06-03 18:50:26",11E7137BDBF47AE6BCDA06616AC582AF,NULL,...
11E7137BDBF60CADA211020AF2129A61,"2017-03-27 23:00:35.046","2017-03-27 23:00:35.049",NULL,STRIPE,ii_18ITvjHiCtHGC78Fl0x9eWPk,SHIPPING,...,NULL,"2016-06-03 18:50:27",11E7137BDBF76138BCDA06616AC582AF,NULL,...
11E7137BDBF8F2E0A211020AF2129A61,"2017-03-27 23:00:35.066","2017-03-27 23:00:35.068",NULL,STRIPE,ii_18ITvlHiCtHGC78FOIq5gtdH,SHIPPING,...,NULL,"2016-06-03 18:50:29",11E7137BDBFA5CE1BCDA06616AC582AF,NULL,...
11E7137BDBFC0023A211020AF2129A61,"2017-03-27 23:00:35.085","2017-03-27 23:00:35.088",NULL,STRIPE,ii_18ITvlHiCtHGC78FuPucmaAj,SHIPPING,...,NULL,"2016-06-03 18:50:29",11E7137BDBFD5692BCDA06616AC582AF,NULL,...
11E7137BDBFEE656A211020AF2129A61,"2017-03-27 23:00:35.104","2017-03-27 23:00:35.107",NULL,STRIPE,ii_18ITvmHiCtHGC78FFPVRezvb,SHIPPING,...,NULL,"2016-06-03 18:50:30",11E7137BDC003919BCDA06616AC582AF,NULL,...
11E7137BDC01CC89A211020AF2129A61,"2017-03-27 23:00:35.124","2017-03-27 23:00:35.126",NULL,STRIPE,ii_18ITvnHiCtHGC78FvecYnDWd,SHIPPING,...,NULL,"2016-06-03 18:50:31",11E7137BDC033763BCDA06616AC582AF,NULL,...
11E7137BDC04B2BCA211020AF2129A61,"2017-03-27 23:00:35.143","2017-03-27 23:00:35.145",NULL,STRIPE,ii_18ITvoHiCtHGC78F2Ef8cjxL,SHIPPING,...,NULL,"2016-06-03 18:50:32",11E7137BDC061C8FBCDA06616AC582AF,NULL,...
11E7137BDC07BFFFA211020AF2129A61,"2017-03-27 23:00:35.163","2017-03-27 23:00:35.165",NULL,STRIPE,ii_18ITvpHiCtHGC78Fe1PsknVg,SHIPPING,...,NULL,"2016-06-03 18:50:33",11E7137BDC0928A3BCDA06616AC582AF,NULL,...
11E7137BDC0ACD42A211020AF2129A61,"2017-03-27 23:00:35.182","2017-03-27 23:00:35.185",NULL,STRIPE,ii_18ITvqHiCtHGC78FF1J5NEH1,SHIPPING,...,NULL,"2016-06-03 18:50:34",11E7137BDC0C230EBCDA06616AC582AF,NULL,...
11E7137BDC0DDA85A211020AF2129A61,"2017-03-27 23:00:35.202","2017-03-27 23:00:35.205",NULL,STRIPE,ii_18ITvrHiCtHGC78FpaRgXYP1,SHIPPING,...,NULL,"2016-06-03 18:50:35",11E7137BDC0F2986BCDA06616AC582AF,NULL,...
11E7137BDC10C0B8A211020AF2129A61,"2017-03-27 23:00:35.222","2017-03-27 23:00:35.224",NULL,STRIPE,ii_18ITvrHiCtHGC78F0B6weS4B,SHIPPING,...,NULL,"2016-06-03 18:50:35",11E7137BDC122816BCDA06616AC582AF,NULL,...
11E7137BDC13CDFBA211020AF2129A61,"2017-03-27 23:00:35.242","2017-03-27 23:00:35.244",NULL,STRIPE,ii_18ITvsHiCtHGC78FpuBNmkhV,SHIPPING,...,NULL,"2016-06-03 18:50:36",11E7137BDC153724BCDA06616AC582AF,NULL,...
11E7137BDC17024EA211020AF2129A61,"2017-03-27 23:00:35.262","2017-03-27 23:00:35.265",NULL,STRIPE,ii_18ITvtHiCtHGC78FVlZicqlb,SHIPPING,...,NULL,"2016-06-03 18:50:37",11E7137BDC185C0EBCDA06616AC582AF,NULL,...
