fk_r_billing_engine_ref_cd,x_invoice_id,sk_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_hub_id,fk_s_change_context_id_cr,created_at,updated_at,x_created_at,fk_s_change_context_id_dl,deleted_at
STRIPE,in_17I7w1HiCtHGC78Fx0gdwUKS,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:44.373","2017-03-27 22:35:44.403","2015-12-14 17:49:01",NULL,NULL
STRIPE,in_17IUPSHiCtHGC78FWCUDohVh,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:45.898","2017-03-27 22:35:46.295","2015-12-15 17:48:54",NULL,NULL
STRIPE,in_17IUPdHiCtHGC78FnBmqBmJt,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:47.234","2017-03-27 22:35:47.330","2015-12-15 17:49:05",NULL,NULL
STRIPE,in_17Iqt2HiCtHGC78FDcgV07fD,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:50.744","2017-03-27 22:35:54.297","2015-12-16 17:48:56",NULL,NULL
STRIPE,in_17IqtNHiCtHGC78F2Tu4KnN2,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:51.846","2017-03-27 22:35:52.196","2015-12-16 17:49:17",NULL,NULL
STRIPE,in_17JDMHHiCtHGC78FaEyv0KJS,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:56.052","2017-03-27 22:35:56.302","2015-12-17 17:48:37",NULL,NULL
STRIPE,in_17JDMWHiCtHGC78FUGAtUyC4,...,SHIPPING,...,NULL,...,"2017-03-27 22:35:57.393","2017-03-27 22:35:57.670","2015-12-17 17:48:52",NULL,NULL
STRIPE,in_17JZpvHiCtHGC78F1i2Ay1TJ,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:02.134","2017-03-27 22:36:02.243","2015-12-18 17:48:43",NULL,NULL
STRIPE,in_17JZq5HiCtHGC78FflSf6TNK,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:02.885","2017-03-27 22:36:03.094","2015-12-18 17:48:53",NULL,NULL
STRIPE,in_17JwJMHiCtHGC78FNbd9s538,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:05.963","2017-03-27 22:36:06.025","2015-12-19 17:48:36",NULL,NULL
STRIPE,in_17JwJbHiCtHGC78FLN9LdzTB,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:06.765","2017-03-27 22:36:06.853","2015-12-19 17:48:51",NULL,NULL
STRIPE,in_17KImlHiCtHGC78FGpL4lrqh,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:08.464","2017-03-27 22:36:08.559","2015-12-20 17:48:27",NULL,NULL
STRIPE,in_17KImuHiCtHGC78FjlzPKvSl,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:09.050","2017-03-27 22:36:09.145","2015-12-20 17:48:36",NULL,NULL
STRIPE,in_17KfGRHiCtHGC78FKlgKrPLo,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:11.739","2017-03-27 22:36:11.775","2015-12-21 17:48:35",NULL,NULL
STRIPE,in_17KfGXHiCtHGC78FFh8UMRCH,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:11.945","2017-03-27 22:36:11.991","2015-12-21 17:48:41",NULL,NULL
STRIPE,in_17L1jqHiCtHGC78FAN20A8Mv,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:12.937","2017-03-27 22:36:13.143","2015-12-22 17:48:26",NULL,NULL
STRIPE,in_17L1k5HiCtHGC78F6SPS8aE8,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:14.312","2017-03-27 22:36:14.664","2015-12-22 17:48:41",NULL,NULL
STRIPE,in_17LODMHiCtHGC78F274fgi2r,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:18.849","2017-03-27 22:36:19.051","2015-12-23 17:48:24",NULL,NULL
STRIPE,in_17LODcHiCtHGC78F3iB4CNoD,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:20.223","2017-03-27 22:36:20.561","2015-12-23 17:48:40",NULL,NULL
STRIPE,in_17LkgwHiCtHGC78FqfxU2NaZ,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:24.833","2017-03-27 22:36:25.150","2015-12-24 17:48:26",NULL,NULL
STRIPE,in_17LkhjHiCtHGC78FOXqU96mL,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:28.815","2017-03-27 22:36:29.314","2015-12-24 17:49:15",NULL,NULL
STRIPE,in_17M5joHiCtHGC78FVykORPha,...,PRIMARY,...,...,...,"2017-03-27 22:36:31.579","2017-03-27 22:36:31.637","2015-12-25 16:16:48",NULL,NULL
STRIPE,in_17M7AOHiCtHGC78FThmh9Bhl,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:32.096","2017-03-27 22:36:32.183","2015-12-25 17:48:20",NULL,NULL
STRIPE,in_17M7AXHiCtHGC78FtE04vc3A,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:32.723","2017-03-27 22:36:32.938","2015-12-25 17:48:29",NULL,NULL
