fk_x_invoice_item_hub_id,created_at,fk_s_change_context_id,fk_x_currency_ref_cd,charge_amt,discountable_ind,proration_ind,period_start_at,period_end_at,description,row_hash
...,"2017-03-27 22:52:23.179",...,USD,414,1,0,NULL,NULL,"USPS label: 9400110897700057568029",...
...,"2017-03-27 22:52:23.197",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200793972307296",...
...,"2017-03-27 22:52:23.216",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700057749008",...
...,"2017-03-27 22:52:23.235",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057695336",...
...,"2017-03-27 22:52:23.253",...,USD,1038,1,0,NULL,NULL,"USPS label: 9405510200829003392662",...
...,"2017-03-27 22:52:23.271",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700058022520",...
...,"2017-03-27 22:52:23.290",...,USD,2026,1,0,NULL,NULL,"USPS label: 9405510200793981229435",...
...,"2017-03-27 22:52:23.309",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700058082449",...
...,"2017-03-27 22:52:23.327",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200882005478284",...
...,"2017-03-27 22:52:29.619",...,USD,21496,0,1,"2016-04-29 19:38:23","2016-05-25 17:11:51","Remaining time on Plus Custom /Mo after 30 Apr 2016",...
...,"2017-03-27 22:52:33.934",...,USD,21496,0,1,NULL,NULL,"Remaining time on Plus Custom /Mo after 30 Apr 2016",...
...,"2017-03-27 22:52:29.642",...,USD,-21582,0,1,"2016-04-29 19:38:23","2016-05-25 17:11:51","Unused time on Plus Custom /Mo after 30 Apr 2016",...
...,"2017-03-27 22:52:33.926",...,USD,-21582,0,1,NULL,NULL,"Unused time on Plus Custom /Mo after 30 Apr 2016",...
...,"2017-03-27 22:52:30.056",...,USD,414,1,0,NULL,NULL,"USPS label: 9400110897700054330933",...
...,"2017-03-27 22:52:30.074",...,USD,1683,1,0,NULL,NULL,"USPS label: 9405510200829996594883",...
...,"2017-03-27 22:52:30.094",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057065412",...
...,"2017-03-27 22:52:30.113",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200830137107312",...
...,"2017-03-27 22:52:30.131",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700057583626",...
...,"2017-03-27 22:52:30.150",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200828004088932",...
...,"2017-03-27 22:52:30.168",...,USD,1683,1,0,NULL,NULL,"USPS label: 9405510200829003900577",...
...,"2017-03-27 22:52:30.187",...,USD,1135,1,0,NULL,NULL,"USPS label: 9405510200830139214711",...
...,"2017-03-27 22:52:30.205",...,USD,402,1,0,NULL,NULL,"USPS label: 9400110897700057905749",...
...,"2017-03-27 22:52:30.223",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700057993111",...
...,"2017-03-27 22:52:30.241",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700058044805",...
...,"2017-03-27 22:52:30.260",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200828005956407",...
...,"2017-03-27 22:52:30.278",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200883047186595",...
...,"2017-03-27 22:52:30.299",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700058198256",...
...,"2017-03-27 22:52:30.318",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700057660761",...
...,"2017-03-27 22:52:30.337",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200793975299109",...
...,"2017-03-27 22:52:30.356",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700057815581",...
...,"2017-03-27 22:52:30.376",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200830138443778",...
...,"2017-03-27 22:52:30.394",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700057956338",...
...,"2017-03-27 22:52:30.415",...,USD,402,1,0,NULL,NULL,"USPS label: 9400110897700058104837",...
...,"2017-03-27 22:52:30.436",...,USD,2306,1,0,NULL,NULL,"USPS label: 9405510200830140892748",...
...,"2017-03-27 22:52:30.456",...,USD,1683,1,0,NULL,NULL,"USPS label: 9405510200881006161522",...
...,"2017-03-27 22:52:30.477",...,USD,1135,1,0,NULL,NULL,"USPS label: 9405510200882005969003",...
...,"2017-03-27 22:52:30.496",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200829006800423",...
...,"2017-03-27 22:52:30.514",...,USD,1240,1,0,NULL,NULL,"USPS label: 9405510200828006611237",...
...,"2017-03-27 22:52:31.812",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057404549",...
...,"2017-03-27 22:52:31.831",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057216968",...
...,"2017-03-27 22:52:31.849",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700057557276",...
...,"2017-03-27 22:52:31.867",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057586511",...
...,"2017-03-27 22:52:31.885",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057776189",...
...,"2017-03-27 22:52:31.903",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057692601",...
...,"2017-03-27 22:52:31.921",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057838436",...
...,"2017-03-27 22:52:31.944",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200793980631871",...
...,"2017-03-27 22:52:31.962",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057914345",...
