fk_r_billing_engine_ref_cd,x_invoice_item_id,sk_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_r_plan_lnk_id,fk_s_change_context_id_cr,created_at,updated_at,x_created_at,fk_s_change_context_id_dl,deleted_at
STRIPE,ii_16wNBxHiCtHGC78FtaGxxYNk,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.466","2017-03-27 22:31:32.468","2015-10-15 18:39:33",NULL,NULL
STRIPE,ii_16wNByHiCtHGC78FNPnGgHn8,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:32.484","2017-03-27 22:31:32.486","2015-10-15 18:39:34",NULL,NULL
STRIPE,ii_16wjfNHiCtHGC78FejuOlllL,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.376","2017-03-27 22:31:37.378","2015-10-16 18:39:25",NULL,NULL
STRIPE,ii_16wjfNHiCtHGC78FJM9XURQd,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.395","2017-03-27 22:31:37.397","2015-10-16 18:39:25",NULL,NULL
STRIPE,ii_16wjfNHiCtHGC78FMPvDVDbh,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.414","2017-03-27 22:31:37.416","2015-10-16 18:39:25",NULL,NULL
STRIPE,ii_16wjfOHiCtHGC78FS8QtstFy,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.433","2017-03-27 22:31:37.435","2015-10-16 18:39:26",NULL,NULL
STRIPE,ii_16wjfOHiCtHGC78FK3KcFOrd,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.454","2017-03-27 22:31:37.456","2015-10-16 18:39:26",NULL,NULL
STRIPE,ii_16wjfOHiCtHGC78FbeCIjXIe,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.473","2017-03-27 22:31:37.512","2015-10-16 18:39:26",NULL,NULL
STRIPE,ii_16wjfOHiCtHGC78F083MK5Ug,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.528","2017-03-27 22:31:37.531","2015-10-16 18:39:26",NULL,NULL
STRIPE,ii_16wjfPHiCtHGC78FOsjAorQD,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.547","2017-03-27 22:31:37.550","2015-10-16 18:39:27",NULL,NULL
STRIPE,ii_16wjfPHiCtHGC78F0EejrLH4,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.566","2017-03-27 22:31:37.568","2015-10-16 18:39:27",NULL,NULL
